"filename", "language", "XML", "C#", "C++", "HTML", "ASP.NET Razor", "JSON", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditTicket\EditTicketCommandHandler.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditUserRole\EditUserRoleCommand.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditUserRole\EditUserRoleCommandHandler.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 5, 6, 32
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendConfirmationEmail\SendConfirmationEmailCommand.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendConfirmationEmail\SendConfirmationEmailCommandHandler.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendEmailWithAttachement\SendEmailWithAttachementCommand.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendEmailWithAttachement\SendEmailWithAttachementCommandHandler.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendRecoveryPasswordEmail\SendRecoveryPasswordEmailCommand.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\SendRecoveryPasswordEmail\SendRecoveryPasswordEmailCommandHandler.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\HallDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\MovieDto.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAgeRatingById\GetAgeRatingByIdQuery.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAgeRatingById\GetAgeRatingByIdQueryHandler.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAgeRatings\GetAgeRatingsQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAgeRatings\GetAgeRatingsQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllHalls\GetAllHallsQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllHalls\GetAllHallsQueryHandler.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllMoviesShows\GetAllMoviesShowsQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllMoviesShows\GetAllMoviesShowsQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllMovies\GetAllMoviesQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Queries\GetAllMovies\GetAllMoviesQueryHandler.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
