"filename", "language", "C++", "HTML", "C#", "ASP.NET Razor", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Repertoire\RepertoireStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -231, 0, 0, 0, -43, -274
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Ticket\CreateTicketStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -83, 0, 0, 0, -17, -100
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Ticket\PdfWithTicketStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -37, 0, 0, 0, -7, -44
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\site.css", "CSS", 0, 0, 0, 0, 0, -33, 0, 0, 0, -11, -44
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\js\CinemaApp\MainPage\MainPageScripts.js", "JavaScript", 0, 0, 0, 0, -48, 0, 0, 0, -9, -12, -69
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\js\CinemaApp\Movie\Rating.js", "JavaScript", 0, 0, 0, 0, -83, 0, 0, 0, 0, -12, -95
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\js\CinemaApp\Repertoire\RepertoirePageScripts.js", "JavaScript", 0, 0, 0, 0, -44, 0, 0, 0, -4, -10, -58
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\js\CinemaApp\Ticket\SeatManager.js", "JavaScript", 0, 0, 0, 0, -153, 0, 0, 0, -1, -31, -185
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\TicketScanner.ino", "C++", 133, 0, 0, 0, 0, 0, 0, 0, 3, 38, 174
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\env.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\wifi_secrets.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 137, -65, -1504, -1849, -328, -803, -44, -28, -277, -706, -5467
